AD,,,,
AQ,MCM,McMurdo,7750S 16640E,
AQ,MIR,Mirny,6633S 09300E,
AQ,NEU,Neumayer,7038S 00815W,
AQ,NOV,Novolazarevskaya,7046S 01151E,
AQ,ORC,Orcadas,6044S 04444W,
AQ,PLM,Palmer,6446S 06403W,
AQ,PFS,Port Foster,6300S 06034W,
AQ,PRO,Progress,6924S 07623E,
AQ,ROT,Rothera,6734S 06807W,
AQ,SMT,San Martin,6807S 06706W,
AQ,SNA,SANAE IV,7140S 00249W,
AQ,SBA,Scott Base,7751S 16645E,
AQ,SGN,Signy,6043S 04536W,
AQ,SYW,Syowa,6900S 03935E,
AQ,TNM,Teniente R. Marsh,6213S 05855W,
AQ,TOR,Tor,7153S 00509E,
AQ,TRL,Troll,7200S 00232E,
AQ,VKY,Vernadsky,6514S 06415W,
AQ,VOS,Vostok,7828S 10648E,
AQ,WSA,Wasa,7303S 01325W,
AQ,ZGN,Zhongshan,6922S 07623E,
AR,,,,
AR,ABA,Abasto,3458S 05805W,
AR,ACA,Acaragua,2728S 05507W,
AR,ACS,Acassuso,3429S 05831W,
AR,AVD,Acevedo,3344S 06027W,
AR,AC5,Acheral,2707S 06527W,
AR,AMA,Adelia Maria,3337S 06402W,
AR,GEO,Agrelo,3307S 06853W,
AR,AGS,Aguilares,2726S 06537W,
AR,AIM,Aimogasta,2843S 06649W,
AR,ALN,Albardon,3126S 06831W,
AR,ALI,Alberti,3502S 06017W,
AR,AEA,Aldea Escolar,4308S 07133W,
AR,ADS,Alderetes,2649S 06508W,
AR,ALL,Allen,3859S 06749W,
AR,ALE,Almafuerte,3212S 06415W,
AR,ALS,Alsina,3354S 05923W,
AR,ASL,Alto de Sierra,3131S 06825W,
AR,ARR,Alto Rio Senguerr,4502S 07050W,
AR,LTV,Alto Verde,3309S 06721W,
AR,ALZ,Alvarez,3307S 06048W,
AR,AVR,Alvear,3340S 06037W,
AR,ANA,Anatuya,2828S 06250W,
AR,ANC,Ancon,3534S 06151W,
AR,ADC,Andacollo,3711S 07041W,
AR,AND,Andalgala,2736S 06619W,
AR,ALO,Anelo,3821S 06847W,
AR,ANO,Angaco,3113S 06802W,
AR,ASA,Apolinario Saravia,2425S 06402W,
AR,APO,Apostoles,2755S 05546W,
AR,ARN,Aranguren,3214S 06009W,
AR,ARI,Arias,3338S 06225W,
AR,AVO,Aristobulo del Valle,2707S 05455W,
AR,ARG,Armstrong,3246S 06136W,
AR,ACF,Arrecifes,3405S 06007W,
AR,AYO,Arroyito,3125S 06303W,
AR,ASO,Arroyo Seco,3308S 06026W,
AR,AST,Asturias,3610S 06153W,
AR,ATU,Atucha,,
AR,AVE,Avellaneda,3439S 05822W,
AR,AVS,Avellaneda,2906S 05939W,
AR,AZU,Azul,3647S 05952W,
AR,BHI,Bahia Blanca,3843S 06217W,
AR,BSB,Bahia San Blas,4033S 06215W,
AR,BAJ,Bajo Grande,3034S 06609W,
AR,BHO,Bajo Hondo,3846S 06154W,
AR,BCA,Balcarce,3750S 05815W,
AR,BES,Ballesteros,3232S 06258W,
AR,BDR,Banda del Rio Sali,2650S 06510W,
AR,BAD,Banfield,3445S 05824W,
AR,BAR,Baradero,3347S 05931W,
AR,BAS,Barrancas,3360S 06843W,
AR,BQS,Barranqueras,,
AR,BAL,Barreal,3138S 06928W,
AR,BTN,Barrio Batan,3800S 05742W,
AR,BMS,Barrio Marquez de Sobremonte,3123S 06410W,
AR,BEC,Beccar,3446S 05854W,
AR,BDE,Belen de Escobar,3420S 05849W,
AR,BVL,Bell Ville,3237S 06242W,
AR,BEL,Bella Vista,3433S 05841W,
AR,BVA,Bella Vista,2702S 06518W,
AR,BVC,Bella Vista,2830S 05903W,
AR,BVZ,Benavidez,3424S 05842W,
AR,BEA,Bengolea,3302S 06341W,
AR,BJR,Benito Juarez,3740S 05948W,
AR,BER,Berazategui,3444S 05815W,
AR,BRN,Bernal,3443S 03815W,
